EMAIL, FISCAL-CODE, NAME+SURNAME, PHONE-NUMBER
vlad@gmail.com, FRNVLD90C15H501Z, Vlad Franciosi, 323 4988760
jeremy@gmail.com, BKTJRY90C15H501Z, Jeremy Bukator, 349 5771104
CIAO@GMAIL.COM,AAA,CIAO,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,AAA,mario,33333333
mario1@gmail.com,aaaaa,mario,33333333
luigi@gmail.com,gFhhHNhuJh,salvo,222222222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
luigi@gmail.com,gFhhHNhuJh,salvo,22222
ciao@gmail.it,dhjagdjfns,chsbnf,chdjnd,,mauro,,,ciao,234,675
ciao@gmail.it,dhjagdjfns.chsbnf.chdjnd.,mauro...ciao,322323.232
ciao@gmail.it,dhjagdjfns.chsbnf.chdjnd.,mauro...ciao,322323.232
mario@gmail.com,AAA,Mario bianchi,370 111 6620
ciao@gmail.it,dhjagdjfns.c,mauro...ciao,322323.232
ciao@gmail.it,dhjagdjfns.c,mauro...ciao,322323.232
ciao@gmail.it,dhjagdjfns.c,mauro...ciao,322323.232
ciao@gmail.it,dhjagdjfns.c,mauro...ciao,322323.232
ciao@gmail.it,dhjagdjfns.c,carlo,322323.232
ciao@gmail.it,dhjagdjfns.c,carlo,322323.232
ciao@gmail.it,dhjagdjfns.c,carlo,322323.232
vlad@gmail.com,asfsfww3ffwf3wfvlad,vlad bukator,45433534543643
vld@gmail.com,wur239f98wuf9vlad,vlad bukator,5454353463532
vlad@gmail.com,grw432grg43,vlad bukator,4543534754754354
bro@gmail.com,sab87fhwe78hwEO,bros bro,343254366344352
bro@gmail.com,dsfdw4GRH5AA4A,bros bro,4354343454453
